date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:12	121/121	---MCZ	200	added ('OK')	text/plain	date:Tue,%2023%20Jun%202026%2000:32:11%20GMT	https://becca.qodeinteractive.com/robots.txt		(from )
00:32:13	219532/219532	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202026%2000:32:14%20GMT	https://becca.qodeinteractive.com/saas-home/	./becca_saas_home/becca.qodeinteractive.com/saas-home/index.html	(from )
00:32:14	71726/71726	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202024%2006:36:38%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/qi-blocks/assets/css/plugins/animate/animate.min.css?ver=4.1.1	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/qi-blocks/assets/css/plugins/animate/animate.min0235.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:14	22518/22518	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jan%202023%2012:31:19%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/becca-core/inc/icons/elegant-icons/assets/css/elegant-icons.min.css?ver=7.0	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/becca-core/inc/icons/elegant-icons/assets/css/elegant-icons.min8717.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:16	100782/100782	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Jan%202023%2012:31:19%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/becca-core/inc/icons/font-awesome/assets/css/all.min.css?ver=7.0	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/becca-core/inc/icons/font-awesome/assets/css/all.min8717.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:16	2894/2894	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202024%2006:36:25%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.7	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/contact-form-7/includes/css/styles1014.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:17	44210/44210	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202024%2006:36:38%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/qi-blocks/assets/dist/grid.css?ver=1.3.1	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/qi-blocks/assets/dist/gride7f0.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:18	33734/33734	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jul%202024%2006:36:38%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/qi-blocks/assets/dist/main.css?ver=1.3.1	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/qi-blocks/assets/dist/maine7f0.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:19	44809/44809	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20May%202023%2008:27:36%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min.css?ver=7.0	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/grid.min8717.css	(from https://becca.qodeinteractive.com/saas-home/)
00:32:20	30394/30394	---M-Z	200	added ('OK')	text/css	date:Mon,%2015%20May%202023%2008:27:36%20GMT	https://becca.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min.css?ver=7.0	./becca_saas_home/becca.qodeinteractive.com/wp-content/plugins/qi-addons-for-elementor/assets/css/helper-parts.min8717.css	(from https://becca.qodeinteractive.com/saas-home/)
